id,id2,state,districtNumber,districtName,party,district_url,representative,representative_photo_url,total_awards
5001500US3800,3800,North Dakota,0,ta-at-large-district,republican,https://en.wikipedia.org/wiki/North_Dakota%27s_at-large_congressional_district,Kevin Cramer,https://upload.wikimedia.org/wikipedia/commons/4/44/Kevin_Cramer_official_photo_%28cropped_2%29.jpg,0
5001500US3901,3901,Ohio,1,ta-ordinal-st-m,republican,https://en.wikipedia.org/wiki/Ohio%27s_1st_congressional_district,Steve Chabot,https://upload.wikimedia.org/wikipedia/commons/c/c3/SteveChabot_%28cropped%29.jpg,3294518.5999999996
5001500US3902,3902,Ohio,2,ta-ordinal-nd-m,republican,https://en.wikipedia.org/wiki/Ohio%27s_2nd_congressional_district,Brad Wenstrup,https://upload.wikimedia.org/wikipedia/commons/4/4d/Brad_Wenstrup_official_%28cropped%29.jpg,102972.07
5001500US3903,3903,Ohio,3,ta-ordinal-rd-m,democrat,https://en.wikipedia.org/wiki/Ohio%27s_3rd_congressional_district,Joyce Beatty,https://upload.wikimedia.org/wikipedia/commons/5/57/Joyce_Beatty_congressional_portrait_114th_Congress_%28cropped%29.jpg,107145.9
5001500US3904,3904,Ohio,4,ta-ordinal-th-m,republican,https://en.wikipedia.org/wiki/Ohio%27s_4th_congressional_district,Jim Jordan,https://upload.wikimedia.org/wikipedia/commons/e/ec/Jim_Jordan_official_photo%2C_114th_Congress_%28cropped%29.jpg,0
5001500US3905,3905,Ohio,5,ta-ordinal-th-m,republican,https://en.wikipedia.org/wiki/Ohio%27s_5th_congressional_district,Bob Latta,https://upload.wikimedia.org/wikipedia/commons/3/33/Robert_E._Latta_113th_Congress.jpg,26532.089999999997
5001500US3906,3906,Ohio,6,ta-ordinal-th-m,republican,https://en.wikipedia.org/wiki/Ohio%27s_6th_congressional_district,Bill Johnson,https://upload.wikimedia.org/wikipedia/commons/f/fe/Bill_Johnson%2C_Official_Portrait%2C_112th_Congress_%28cropped%29.jpg,0
5001500US3907,3907,Ohio,7,ta-ordinal-th-m,republican,https://en.wikipedia.org/wiki/Ohio%27s_7th_congressional_district,Bob Gibbs,https://upload.wikimedia.org/wikipedia/commons/6/63/Bob_Gibbs%2C_Official_Portrait%2C_112th_Congress_%28cropped%29.jpg,0
5001500US3908,3908,Ohio,8,ta-ordinal-th-m,republican,https://en.wikipedia.org/wiki/Ohio%27s_8th_congressional_district,Warren Davidson,https://upload.wikimedia.org/wikipedia/commons/2/26/Warren_Davidson_official_congressional_photo_%28cropped%29.jpg,13761
5001500US3909,3909,Ohio,9,ta-ordinal-th-m,democrat,https://en.wikipedia.org/wiki/Ohio%27s_9th_congressional_district,Marcy Kaptur,https://upload.wikimedia.org/wikipedia/commons/d/dc/Marcy_Kaptur_113th_Congress.jpg,6708
