story,lowercase,count
01: The Girl Who Raised Pigeons,half,1
01: The Girl Who Raised Pigeons,hallelujahs,1
01: The Girl Who Raised Pigeons,hammering,1
01: The Girl Who Raised Pigeons,hand,8
01: The Girl Who Raised Pigeons,handcarved,2
01: The Girl Who Raised Pigeons,handed,4
01: The Girl Who Raised Pigeons,hands,5
01: The Girl Who Raised Pigeons,hapless,1
01: The Girl Who Raised Pigeons,happened,1
01: The Girl Who Raised Pigeons,happily,1
01: The Girl Who Raised Pigeons,hard,2
01: The Girl Who Raised Pigeons,harmed,1
01: The Girl Who Raised Pigeons,hat,4
01: The Girl Who Raised Pigeons,hatched,1
01: The Girl Who Raised Pigeons,hatches,1
01: The Girl Who Raised Pigeons,hatchlings,2
01: The Girl Who Raised Pigeons,hate,1
01: The Girl Who Raised Pigeons,havin,1
